Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Playing Time_MP
Ante Budimir,hr CRO,FW,33-039,3.0,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Osasuna,
Aimar Oroz,es ESP,"MF,FW",22-277,3.0,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,2.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.4,0.04,0.44,0.4,0.44,Matches,Osasuna,
Jon Moncayola,es ESP,"MF,FW",26-109,3.0,2,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.8,1.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.37,0.47,0.11,0.47,Matches,Osasuna,
Bryan Zaragoza,es ESP,"MF,FW",23-127,3.0,2,188.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,4.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.11,0.08,0.11,Matches,Osasuna,
Rubén García,es ESP,"FW,MF",31-047,3.0,2,179.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,1.0,7.0,11.0,0.5,0.0,0.5,0.5,0.5,0.13,0.13,0.26,0.13,0.26,Matches,Osasuna,
Jesús Areso,es ESP,DF,25-059,2.0,2,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,13.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,Osasuna,
Moi Gómez,es ESP,MF,30-068,3.0,2,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Osasuna,
Abel,es ESP,DF,24-009,2.0,2,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Osasuna,
Juan Cruz Armada,es ESP,DF,32-033,2.0,1,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasuna,
Nacho Vidal,es ESP,DF,29-219,2.0,1,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasuna,
Iker Muñoz,es ESP,MF,21-299,2.0,1,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasuna,
Raúl,es ESP,FW,23-301,3.0,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Osasuna,
Pablo Ibáñez,es ESP,MF,25-345,2.0,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Osasuna,
Iker Benito,es ESP,FW,22-020,1.0,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,Osasuna,
Rubén Peña,es ESP,FW,33-043,1.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches,Osasuna,
Javi Martínez,es ESP,MF,24-252,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasuna,
José Arnaiz,es ESP,"FW,MF",29-137,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Osasuna,
Aitor Fernández,es ESP,GK,33-119,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Osasuna,
Unai García,es ESP,DF,32-209,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Osasuna,
Dimitrios Stamatakis,gr GRE,GK,21-129,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Osasuna,
Squad Total,,,27.8,3.0,33,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,2.3,2.3,1.7,4.1,49.0,85.0,82.0,0.33,0.0,0.33,0.33,0.33,0.78,0.58,1.35,0.78,1.35,,Osasuna,
Opponent Total,,,28.4,3.0,33,270.0,3.0,5.0,4.0,9.0,5.0,0.0,0.0,3.0,0.0,3.8,3.8,3.0,6.8,54.0,130.0,128.0,1.67,1.33,3.0,1.67,3.0,1.28,1.0,2.27,1.28,2.27,,Osasuna,
Javi López,es ESP,DF,22-158,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Real Sociedad,3.0
Álex Remiro,es ESP,GK,29-159,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real Sociedad,3.0
